pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('so_rate_f', 'vol-thalamus')","dt between 1-2.5 years, age younger than 60",0.0837829630318014,0.5036049614013853,0.029620169300628725,0.8162724069292917,66,51.2 (7.2),0.55
"('so_rate_f', 'vol-thalamus')","dt between 1-2.5 years, age between 60-70",1.0385682209849284e-05,0.9999428871381719,-0.058657441359321764,0.6920905485810099,50,65.1 (2.9),0.54
"('so_rate_f', 'vol-thalamus')","dt between 1-2.5 years, age older than 70",-0.023478799127539023,0.887179566216517,-0.28688126501449057,0.0851542453778433,39,76.5 (4.1),0.26
"('so_rate_f', 'vol-thalamus')","dt between 2.5-7 years, age all",0.2440779971032782,0.00022555376984503744,0.043602709332084114,0.518081419142943,224,60.2 (12.8),0.58
"('so_rate_f', 'vol-thalamus')","dt between 2.5-7 years, age younger than 60",0.15792565846779869,0.10424341835925768,-0.011830451971161145,0.9046581349182918,107,49.6 (8.7),0.64
"('so_rate_f', 'vol-thalamus')","dt between 2.5-7 years, age between 60-70",0.15023393846979485,0.23227593127970375,0.1311128478652288,0.305709496295132,65,64.8 (2.8),0.62
"('so_rate_f', 'vol-thalamus')","dt between 2.5-7 years, age older than 70",0.14964643476437103,0.2896634928596024,0.0714103093817843,0.6221500099655368,52,76.3 (4.7),0.42
"('so_rate_f', 'vol-thalamus')",zzz_blank,,,,,,,
"('ss_dens_f', 'vol-thalamus')","dt all, age all",0.19442706985328723,1.0089461470701373e-06,0.006203938829861505,0.8773800088024601,623,60.9 (12.5),0.55
"('ss_dens_f', 'vol-thalamus')","dt all, age younger than 60",-0.1009300631067466,0.08898942026347134,-0.10535381586166716,0.07682571839523034,285,49.9 (7.9),0.61
"('ss_dens_f', 'vol-thalamus')","dt all, age between 60-70",0.09750329649343531,0.1843225951292209,0.055789121427519524,0.4506939336628937,187,65.1 (2.9),0.58
"('ss_dens_f', 'vol-thalamus')","dt all, age older than 70",0.14746178465182874,0.07078191467036772,0.11623594989354384,0.15804385447858174,151,76.6 (4.6),0.39
"('ss_dens_f', 'vol-thalamus')","dt within 1 year, age all",0.20346457128121398,0.0013964282802564178,0.016400293929212814,0.7996309007006176,244,60.8 (12.8),0.57
"('ss_dens_f', 'vol-thalamus')","dt within 1 year, age younger than 60",-0.08168915655773049,0.3918592374761399,-0.08708560379095764,0.3656519118737869,112,49.4 (7.4),0.62
"('ss_dens_f', 'vol-thalamus')","dt within 1 year, age between 60-70",0.042464676271878624,0.723205230175564,-0.003759223812779409,0.9753606877889986,72,65.2 (2.9),0.57
"('ss_dens_f', 'vol-thalamus')","dt within 1 year, age older than 70",0.15470120468581564,0.23791122361422692,0.12080799134049028,0.3663494165818394,60,76.9 (4.8),0.45
"('ss_dens_f', 'vol-thalamus')","dt between 1-2.5 years, age all",0.22810798625566509,0.004308181003056558,0.013172861983302094,0.8716129199714413,155,62.1 (11.6),0.47
"('ss_dens_f', 'vol-thalamus')","dt between 1-2.5 years, age younger than 60",-0.22108017932855045,0.0744411974721263,-0.2697876136953517,0.031090503932823504,66,51.2 (7.2),0.55
"('ss_dens_f', 'vol-thalamus')","dt between 1-2.5 years, age between 60-70",0.3778304657467239,0.00682696910024358,0.36236960983586725,0.01137167831277786,50,65.1 (2.9),0.54
"('ss_dens_f', 'vol-thalamus')","dt between 1-2.5 years, age older than 70",-0.015810231900135134,0.9238951793697603,-0.022398417311712084,0.8953130537753093,39,76.5 (4.1),0.26
"('ss_dens_f', 'vol-thalamus')","dt between 2.5-7 years, age all",0.16884815606071008,0.011368949589077956,-0.010100984452686692,0.8810364379823143,224,60.2 (12.8),0.58
"('ss_dens_f', 'vol-thalamus')","dt between 2.5-7 years, age younger than 60",-0.05419981613882563,0.5792572449306072,-0.04932235544468787,0.6173158385767881,107,49.6 (8.7),0.64
"('ss_dens_f', 'vol-thalamus')","dt between 2.5-7 years, age between 60-70",-0.001325000350292524,0.991642136784184,-0.03139855884865682,0.8070078141742658,65,64.8 (2.8),0.62
"('ss_dens_f', 'vol-thalamus')","dt between 2.5-7 years, age older than 70",0.2497593951569524,0.07415150930040028,0.1761886946414421,0.22097745489025844,52,76.3 (4.7),0.42
"('ss_dens_f', 'vol-thalamus')",zzz_blank,,,,,,,
"('ss_dens_f', 'vol-hippocampus')","dt all, age all",0.0788652420286981,0.049115678341058636,-0.017199135238831043,0.6688197738208861,623,60.9 (12.5),0.55
"('ss_dens_f', 'vol-hippocampus')","dt all, age younger than 60",-0.0525648310165433,0.3766379715622618,-0.061502621530687196,0.3025261260390289,285,49.9 (7.9),0.61
"('ss_dens_f', 'vol-hippocampus')","dt all, age between 60-70",0.003925094710470013,0.9574807936474421,-0.027476854922431817,0.7104418863146195,187,65.1 (2.9),0.58
"('ss_dens_f', 'vol-hippocampus')","dt all, age older than 70",0.05268660270373253,0.5205549011150864,0.0009053099564832305,0.9912572344289519,151,76.6 (4.6),0.39
"('ss_dens_f', 'vol-hippocampus')","dt within 1 year, age all",0.11412732781311237,0.07517588555918661,0.012054378189194435,0.8520072162839237,244,60.8 (12.8),0.57
"('ss_dens_f', 'vol-hippocampus')","dt within 1 year, age younger than 60",-0.09898290120962601,0.2991130588714153,-0.10387711799646066,0.2801637844211355,112,49.4 (7.4),0.62
"('ss_dens_f', 'vol-hippocampus')","dt within 1 year, age between 60-70",0.12670691542546156,0.2888676053643902,0.10084548257647644,0.40616438397047494,72,65.2 (2.9),0.57
"('ss_dens_f', 'vol-hippocampus')","dt within 1 year, age older than 70",0.10088651668543538,0.4430906605947529,0.02002199586791387,0.8814127762761034,60,76.9 (4.8),0.45
"('ss_dens_f', 'vol-hippocampus')","dt between 1-2.5 years, age all",0.014737322729394653,0.8555804595563641,-0.08272434100932684,0.30934575614953913,155,62.1 (11.6),0.47
"('ss_dens_f', 'vol-hippocampus')","dt between 1-2.5 years, age younger than 60",-0.17814801512459835,0.15240021940877116,-0.209296215098347,0.09695303658072472,66,51.2 (7.2),0.55
"('ss_dens_f', 'vol-hippocampus')","dt between 1-2.5 years, age between 60-70",0.08150603790449237,0.5736424910665592,0.06739291199308503,0.6490213512824274,50,65.1 (2.9),0.54
"('ss_dens_f', 'vol-hippocampus')","dt between 1-2.5 years, age older than 70",-0.18330195736133886,0.26400603585213994,-0.22644563655423677,0.17774789314242095,39,76.5 (4.1),0.26
"('ss_dens_f', 'vol-hippocampus')","dt between 2.5-7 years, age all",0.08540581280999177,0.20287127845325764,-0.0033317763705080308,0.9606306181328311,224,60.2 (12.8),0.58
"('ss_dens_f', 'vol-hippocampus')","dt between 2.5-7 years, age younger than 60",0.045222340353631804,0.6437042224177428,0.04247405071716763,0.6670400965344683,107,49.6 (8.7),0.64
"('ss_dens_f', 'vol-hippocampus')","dt between 2.5-7 years, age between 60-70",-0.18062623442157952,0.14990350061431154,-0.21640044966643787,0.08847835614224354,65,64.8 (2.8),0.62
"('ss_dens_f', 'vol-hippocampus')","dt between 2.5-7 years, age older than 70",0.09571120681268583,0.4997026272577293,0.08713452751289677,0.5473761475776524,52,76.3 (4.7),0.42
"('ss_dens_f', 'vol-hippocampus')",zzz_blank,,,,,,,
"('fs_dens_c', 'vol-thalamus')","dt all, age all",0.31158170454483197,1.714023139370366e-15,0.11001249722781359,0.006063863012997953,623,60.9 (12.5),0.55
"('fs_dens_c', 'vol-thalamus')","dt all, age younger than 60",0.05030599260473732,0.39751572688682024,-0.014735120662405303,0.8050634934099609,285,49.9 (7.9),0.61
"('fs_dens_c', 'vol-thalamus')","dt all, age between 60-70",0.2848799593894913,7.75806443620469e-05,0.2774480355033424,0.00013159105036634385,187,65.1 (2.9),0.58
"('fs_dens_c', 'vol-thalamus')","dt all, age older than 70",0.19541713203894318,0.01619009219910971,0.16399537894593305,0.04566122877385947,151,76.6 (4.6),0.39
"('fs_dens_c', 'vol-thalamus')","dt within 1 year, age all",0.321074999908303,2.9602586269839874e-07,0.06403529712406994,0.3211895976692033,244,60.8 (12.8),0.57
"('fs_dens_c', 'vol-thalamus')","dt within 1 year, age younger than 60",-0.03879115323752272,0.6846879304703773,-0.059852402586265126,0.5345183339001823,112,49.4 (7.4),0.62
"('fs_dens_c', 'vol-thalamus')","dt within 1 year, age between 60-70",0.2697149546090439,0.02195227396208298,0.2374049059039365,0.047827497344752765,72,65.2 (2.9),0.57
"('fs_dens_c', 'vol-thalamus')","dt within 1 year, age older than 70",0.15313125849877662,0.2427654702306128,0.022550712465559106,0.8665645327392886,60,76.9 (4.8),0.45
"('fs_dens_c', 'vol-thalamus')","dt between 1-2.5 years, age all",0.3185712483557049,5.348719313985626e-05,0.15538700037196382,0.05511925272416861,155,62.1 (11.6),0.47
